,,,,,,,,,,,,,"KeyCare Start 10,551 – 15,950",,,,,,,"1,952",,,,,,,,,,"1,952",,,,,,,878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,952",,,,,,"1,952",,,,,878,,,,,
,,,,,,,,,,,,,"KeyCare Start 15,951 – 24,250",,,,,,,"3,063",,,,,,,,,,"3,063",,,,,,,919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,063",,,,,,"3,063",,,,,919,,,,,
,,,,,,,,,,,,,"KeyCare Start 24,251 +",,,,,,,"3,488",,,,,,,,,,"3,488",,,,,,,949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,488",,,,,,"3,488",,,,,949,,,,,
,,,,,,,,,,,,,"KeyCare Start Regional 0 – 10,550",,,,,,,"1,184",,,,,,,,,,"1,184",,,,,,,713,,,,,,,No Medical Savings Account,,,,,,,,,,,,,,,,,,,,,,,"1,184",,,,,,"1,184",,,,,713,,,,,
,,,,,,,,,,,,,"KeyCare Start Regional 10,551 – 15,950",,,,,,,"1,790",,,,,,,,,,"1,790",,,,,,,805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,790",,,,,,"1,790",,,,,805,,,,,
,,,,,,,,,,,,,"KeyCare Start Regional 15,951 – 24,250",,,,,,,"2,790",,,,,,,,,,"2,790",,,,,,,854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,790",,,,,,"2,790",,,,,854,,,,,
,,,,,,,,,,,,,"KeyCare Start Regional 24,251 +",,,,,,,"3,178",,,,,,,,,,"3,178",,,,,,,890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,178",,,,,,"3,178",,,,,890,,,,,
Shariah Compliant Arrangement available on all health plans.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"*         Income verification will be conducted for the lower income bands. Income is considered as: The higher of the main member or registered spouse or partner’s earnings, commission and rewards from employment; interest from investments; income from leasing of assets or property; distributions received from a trust, pension and/or provident fund; receipt of any financial assistance received from any statutory social assistance programme.
**       We count a maximum of three children when we work out the monthly contribution and annual Medical Savings Account, except when a child has been placed in the custody of a member, such as foster care, in which case every child on the membership will be counted.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Annual Medical Savings Account
MAIN MEMBER (R)",,,,,,,,,,,,,,,,,,,,,,,ADULT (R),,,,,,,,,CHILD* (R),,,,,,,,"Annual Threshold Amounts
Annual Threshold",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Executive                               Executive Plan                               34,284                               34,284                                6,552
Classic Comprehensive                        27,876                               26,364                                5,568",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Comprehensive
Priority
Saver",,,,,,,,,"Classic Smart Comprehensive                    14,292                               13,200                                3,336
Classic Priority                               17,376                               13,704                                6,948
Essential Priority                              8,964                                 7,044                                 3,576
Classic Saver                                10,872                                8,580                                 4,344
Classic Delta Saver                             8,688                                 6,864                                 3,492
Essential Saver                               4,356                                 3,264                                 1,740
Essential Delta Saver                           3,468                                 2,616                                 1,392
Coastal Saver                                6,828                                 5,136                                 2,760",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Above Threshold Benefit limits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"* We count a maximum of three children when we work out the annual Medical Savings Account, except when a child has been placed in the custody of a member, such as foster care, in which case every child on the membership will be counted.
If you join the medical scheme after January, you won’t get the full amount because it is calculated by counting the remaining months in the year.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"* We count a maximum of three children when we work out the Annual Threshold and Above Threshold Benefit limit, except when a child has been placed in the custody of a member, such as foster care, in which case every child on the membership will be counted.
If you join the medical scheme after January, you won’t get the full amount because it is calculated by counting the remaining months in the year.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXECUTIVE,,,,,,,,,,COMPREHENSIVE,,,,,,PRIORITY,,,,,,SAVER,,,,,,,,,,,SMART,,,,,,,,,,,,,,,,CORE,,,,,,,,,,,,,,KEYCARE,,,,,,,,,,,,,,,,,,,,
PMB,Prescribed Minimum Benefits (PMB),,,,,"All Discovery Health Medical Scheme (DHMS) plans cover the costs related to the diagnosis, treatment and care of: an emergency medical condition, a defined list of 271 diagnoses and a defined list of 27 chronic conditions. Your medical condition must qualify for cover and be part of the defined list of Prescribed Minimum Benefit conditions. The treatment requested must match the treatments in the defined benefits. You must use designated service providers (DSPs) in our network – this does not apply in emergencies. Where appropriate and according to the rules of the Scheme, you may be transferred to a hospital or other service providers in our network once your condition has stabilised. If your treatment doesn’t meet the above criteria, we will pay up to 80% of the Discovery Health Rate (DHR). You will be responsible for the difference between what we pay and the actual cost of your treatment.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY-TO-DAY BENEFITS,Medical Savings Account (MSA) and day-to- day benefits,,,,,"Pays for day- to-day medical expenses like
GP consultation fees, prescribed and over-the- counter medicine, radiology and pathology as long as you have money available.",,,,,"Pays for day-to-day medical expenses like GP consultation fees, prescribed and over-the-counter medicine, radiology and pathology as long as you have money available.
On the Classic Smart Comprehensive, you have cover for consultations with
a Smart GP before the annual threshold has been reached, with a fixed
co-payment.",,,,,,"Pays for day-to-day medical expenses like GP consultation fees, prescribed and over-the-counter medicine, radiology and pathology as long as you have money available.",,,,,,,,,,,,,,,,,,,,,,,,,"This plan does not offer an MSA. Access to a defined set of
benefits including GP consultations, certain acute medicine when prescribed by a Smart GP and over-the-counter medicine, dental check up and optometry check up with fixed
co-payments and limits.",,,,"This plan does not offer an MSA. Access to a defined set of benefits including GP consultations, certain
over-the-counter medicine, dental check up and optometry check up with fixed co-payments and limits.",,,,,,,,,,These plans do not offer an MSA.,,,,,,,,,,,,,,,"This plan does not offer an MSA. Day-to-day benefits through your nominated
GP and day-to-day medicine from our medicine list when prescribed
by your nominated KeyCare GP. We pay for basic radiology and pathology at a network provider if referred by your nominated GP,
as well as basic optometry and dentistry, and specialist cover up to R5,550 per person per year when referred by your nominated GP.",,,"This plan does not offer an MSA. Specialist cover up to R5,550 per person per year when referred
by a GP.",,,"This plan does not offer an MSA. Day-to-day benefits through your nominated KeyCare Start GP and day-to-day medicine from our medicine list when prescribed
by your nominated KeyCare Start
GP. We pay for basic radiology and pathology if referred by your nominated
KeyCare Start GP, as well as basic optometry and dentistry, and specialist cover up to R2,780 per person per year when referred by your nominated KeyCare Start GP.",,,,"This plan does not offer an MSA. Day- to-day benefits through referral by the KeyCare Online Practice and day-to-day medicine from our medicine list when prescribed
by your nominated KeyCare Start Regional GP.
We pay for basic radiology and pathology if referred by your nominated KeyCare Start Regional GP.
As well as basic optometry and dentistry, and specialist cover up to R2,780 per person per year when referred by your nominated KeyCare Start Regional GP.",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXECUTIVE,,,,,,,,,,COMPREHENSIVE,,,,,,PRIORITY,,,,,,SAVER,,,,,,,,,,,,SMART,,,,,,,,,,,,,,,CORE,,,,,,,,,,,,,,KEYCARE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,CLASSIC,,CLASSIC SMART,,,CLASSIC,,ESSENTIAL,,,,,,,CLASSIC,,,,ESSENTIAL,,,,,COASTAL,,,,,,CLASSIC,,,,ESSENTIAL,,,,ACTIVE,,,,CLASSIC,,,,,ESSENTIAL,,,,,,COASTAL,,,,,PLUS,,,,CORE,,START,,,,START REGIONAL,,,,
Day-to-day Extender Benefit,,,,"Pays for certain day-to-day benefits after you have run out of money in your MSA and before you reach the Annual Threshold. Covers unlimited pharmacy clinic consultations
in our wellness
network, as well as video call consultations with a network GP. You also have unlimited cover for consultations with a network GP who meets the digital criteria,
when referred. We cover consultations up to the DHR.
You also have additional cover for kids casualty visits.",,,,,,,"Pays for certain day-to-day benefits after you have
run out of money in your MSA
and before you reach the Annual Threshold. Covers pharmacy clinic consultations
in our wellness network, as well as video call consultations with a network GP. You
also have cover for consultations with a network GP who meets the digital criteria, when referred. We cover consultations up to the DHR. You also have additional cover for kids casualty visits.",,,,This plan does not offer this benefit.,,"Pays for certain day-to-day benefits after you have run out of money in your MSA and before you reach the Annual Threshold.
Covers pharmacy clinic consultations in our wellness network, as well as video call consultations with a network GP. You also have cover for consultations with a network GP who meets the digital criteria, when referred. We cover consultations up to the DHR.
You also have additional cover for kids casualty visits.",,,,,,,,,,,"Pays for certain day-to-day benefits after you have run out of money in your MSA.
Covers limited pharmacy clinic consultations in our wellness network, as well as video call consultations with a network GP. You also have cover for consultations with a network GP who meets the digital criteria, when referred. We cover consultations up to the DHR.
You also have additional cover for kids casualty visits.",,,,,,,,,,,,,,These plans do not offer this benefit.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Above Threshold Benefit,,,"The Scheme continues to cover day-to- day healthcare
services once you reach your Annual Threshold. The Above Threshold Benefit is unlimited on the Executive Plan. Annual benefit limits may apply.",,,,,,,,"The Scheme continues to cover day-to-day healthcare services once you reach your Annual Threshold.
The Above Threshold Benefit is limited on these plans. Annual benefit limits may apply.",,,,,,,,,,,,,,These plans do not offer this benefit.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MRI and CT scans,"We pay the first R3,850 of your MRI or CT scan from your day-to-day benefits. We cover the balance of the scan from the Hospital Benefit, up to the DHR. For conservative back and neck scans a limit of one scan per spinal and neck region applies.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"You must pay the first R3,850 of your MRI or CT scan from your day-to-day
benefits. We cover the balance of
the scan from the Hospital Benefit, up to the DHR. For conservative back and neck
scans a limit of one scan per spinal and neck region applies.",,,,,,,,,These plans do not offer this benefit.,,,,,These plans do not offer this benefit.,,,,,,,,,,,,"MRI and CT scans are paid from the Specialist Benefit up to a limit of R5,550 for a person a year.",,,,,,,,,,,,"MRI and CT scans are paid from the Specialist Benefit up to a limit of R2,780 for a person a year.",,,,,,,
Cover during your pregnancy and for two years after your baby’s birth once the benefit is activated,,,,"During pregnancy
12 antenatal consultations with your gynaecologist, GP or midwife
Two 2D ultrasound scans or one 2D ultrasound scan and one nuchal translucency test. 3D and 4D scans are paid up to the rate we pay for 2D scans
One chromosome test or Non-Invasive Prenatal Test (NIPT) if you meet the clinical entry criteria
Private ward cover up to R2,700 per day for your delivery in hospital
A defined basket of blood tests
After you give birth
Your baby is covered for up to two visits to a GP, paediatrician or an ENT
You are covered for one six week post-birth consultation at your midwife, GP or gynaecologist either
as part of your delivery or if there are any complications
Cover for up to R6,300 for essential registered devices with 25% co-payment
Pre- and postnatal care
Five antenatal or postnatal classes or consultations with a registered nurse up until two years after you have given birth
One nutritional assessment at a dietitian
Two mental health consultations with a counsellor or psychologist
One breastfeeding consultation with a registered nurse or a breastfeeding specialist",,,,,,,,,,,,,"During pregnancy
8 antenatal consultations with your gynaecologist, GP or midwife
Two 2D ultrasound scans or one 2D ultrasound scan and one nuchal translucency test. 3D and 4D scans are paid up to the rate we pay for 2D scans
One chromosome test or Non-Invasive Prenatal Test (wNIPT) if you meet the clinical entry criteria A defined basket of blood tests
After you give birth
Your baby is covered for up to two visits to a GP, paediatrician or an ENT
You are covered for one six week post-birth consultation at your midwife, GP or gynaecologist either as part of your delivery or if there are any complications
Pre- and postnatal care
Five antenatal or postnatal classes or consultations with a registered nurse up until two years after you have given birth One nutritional assessment at a dietitian
Two mental health consultations with a counsellor or psychologist
One breastfeeding consultation with a registered nurse or a breastfeeding specialist",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,These services are subject to the defined day-to- day benefits.,,,,,,,,"During pregnancy
8 antenatal consultations with your gynaecologist, GP or midwife
Two 2D ultrasound scans or one 2D ultrasound scan and one nuchal translucency test. 3D and 4D scans are paid up to the rate we pay for 2D scans
One chromosome test or Non-Invasive Prenatal Test (NIPT) if you meet the clinical entry criteria A defined basket of blood tests
After you give birth
Your baby is covered for up to two visits to a GP, paediatrician or an ENT
You are covered for one six week post-birth consultation at your midwife, GP or gynaecologist either as part of your delivery or if there are any complications
Pre- and postnatal care
Five antenatal or postnatal classes or consultations with a registered nurse up until two years after you have given birth
One nutritional assessment at a dietitian
Two mental health consultations with a counsellor or psychologist
One breastfeeding consultation with a registered nurse or a breastfeeding specialist",,,,,,,,,,,,,,,,,,,These services are subject to the defined day-to-day benefits on these plans.,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXECUTIVE,,,,,,,,,,COMPREHENSIVE,,,,,,PRIORITY,,,,,,SAVER,,,,,,,,,,,SMART,,,,,,,,,,,,,,,,CORE,,,,,,,,,,,,,,KEYCARE,,,,,,,,,,,,,,,,,,,,
CHRONIC COVER,Conditions,,,,,You have cover for the 27 Chronic Disease List conditions according to the Prescribed Minimum Benefits list as well as additional conditions on our Additional Disease List.,,,,,,,,,You have cover for the 27 Chronic Disease List conditions according to the Prescribed Minimum Benefits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Medicine cover,,,,,"Approved medicine on our medicine list covered in full at a network provider (not applicable to ADL conditions). Medicine not on our list, paid up
to 100% of the DHR or generic reference price up to a maximum of the monthly Chronic Drug Amount.",,,,,"Full cover for approved medicine on our medicine list at a network provider (not applicable to ADL). Medicine not on our list, paid up
to 100% of the DHR or generic reference price up to a maximum of the monthly Chronic Drug Amount.",,,,"Full cover for approved medicine on our medicine list at a network provider. Medicine not on our list, paid up to 100% of the DHR or generic reference price
up to a maximum of the monthly Chronic Drug Amount.",,"Approved medicine on our medicine list covered in full when you use
a MedXpress Network Pharmacy. Medicine not on our list, paid up to 100% of the DHR or generic reference price up to a maximum of the monthly Chronic Drug Amount.",,,,,,,,,,,"Approved medicine on our medicine list covered in full when you use a MedXpress Network Pharmacy. Medicine not on our list, paid up to 100% of the DHR or generic reference price up to a maximum of the monthly Chronic Drug Amount.",,,,,,,,,,,,,,"Approved medicine on our medicine list covered in full when you use a MedXpress Network Pharmacy. For medicine not on our list, we cover up to the therapeutic reference price of the equivalent medicine or group of medicines.",,,,,,,,,,,,,,Approved medicine on our medicine list covered in full when you use a MedXpress Network Pharmacy. Medicines not on our list paid up to 100% of the DHR or generic reference price up to a maximum of the monthly Chronic Drug Amount.,,,,,,,,,,,,,,,"Approved medicine covered in full when you use one of our network pharmacies or your nominated KeyCare Network GP. Your nominated KeyCare Network GP must prescribe the chronic medicine. For medicine not on our list, we cover up to the cost of the therapeutic reference price of the equivalent medicine or group of medicines.",,,,,,We cover your chronic medicine in a state facility.,,,,"We cover your chronic medicine when you use one of our network pharmacies or your nominated KeyCare Start Regional Network GP. Your nominated Regional Network GP must prescribe the chronic medicine.
For medicine not
on our list, we cover up to the cost of the therapeutic reference price
of the equivalent medicine or group of medicines.",,
,Specialised Medicine and Technology Benefit,,,,,"Cover for a defined list of the latest treatments through the Specialised Medicine and Technology Benefit. We pay up to R200,000 per person per year. A co-payment of up to 20% applies.",,,,,,,,,These plans do not offer this benefit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANCER COVER,Oncology Benefit,,,,,"We cover the first R500,000 of your approved cancer treatment over a 12-month cycle in full.",,,,,,,,,"We cover the first R375,000 of your approved cancer treatment over
a 12-month cycle in full.",,"We cover the first R250,000 of your approved cancer treatment over a 12-month cycle in full. All cancer- related healthcare services are covered up to 100% of the DHR. Cancer treatment that is a Prescribed Minimum Benefit (PMB) is always covered in full, subject to the use of a designated service provider (DSP), where applicable. All PMB treatment costs add up to the cover amount. If your treatment costs more than the cover amount, we will cover up to 80% of the DHR.",,,,,,,,,,,,,,,,,,,,,,,,,"We cover the first R250,000 of your              Cancer treatment approved cancer treatment over a               that is a Prescribed 12-month cycle in full. All cancer-related       Minimum Benefit healthcare services are covered up to          (PMB) is always 100% of the DHR. Cancer treatment that      covered in full,
is a Prescribed Minimum Benefit (PMB) is     subject to the use always covered in full, subject to the use       of a designated  of a designated service provider (DSP),         service provider where applicable. If your treatment costs     (DSP), where more than the cover amount, we will           applicable. You cover up to 80% of the DHR.                        have cover for  On Essential Smart and Essential Dynamic    cancer treatment
Smart plans, we cover cancer treatment       in our network. If
in our network. If you choose to use any       you choose to use other provider, we will cover up to 80%        any other provider, of the DHR.                                               we will cover up to
80% of the DHR.",,,,,,,,,,,,,,"We cover the first R250,000 of your approved cancer treatment over a 12-month cycle in full. All cancer-related healthcare services are covered up to 100% of the DHR. Cancer treatment that is a Prescribed Minimum Benefit (PMB) is always covered in full, subject to the use of a designated service provider (DSP), where applicable. All PMB treatment costs add up to the cover amount. If your treatment costs more than the cover amount, we will cover up to 80% of the DHR.",,,,,,,,,,,,,,,"Cancer treatment that is a Prescribed        Cancer treatment that is a Prescribed Minimum Benefit (PMB) is always              Minimum Benefit (PMB) is always covered in full, subject to the use of a        covered in full, subject to the use of a designated service provider (DSP), where   designated service provider (DSP), where applicable. You have cover for cancer        applicable. You have cover for cancer treatment in our network.                         treatment in a state facility.
If you choose to use any other  provider,    If you choose to use any other provider, we will cover up to 80% of the DHR.           we will cover up to 80% of the DHR.",,,,,,,,,,,,
,,,,,,"All cancer-related healthcare services are covered up to 100% of the DHR. Cancer treatment that is a Prescribed Minimum Benefit (PMB) is always covered in full, subject to the use of
a designated service provider (DSP), where applicable. All PMB treatment costs add up to the cover amount. If your treatment costs more than the cover amount, we will cover up to 80% of the DHR.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Extended Oncology Benefit,,,,,"Once you have reached your cover limit, you have extended cover in full for a defined list of cancers and treatments that meet the Scheme’s criteria.",,,,,,,,,These plans do not offer this benefit.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
